USER,Pre-test-1,Post-test-1,Score-1,Pre-test-2,Post-test-2,Score-2,Pre-test-3,Post-test-3,Score-3
USER_1,"0,6",1,"0,4","0,4","0,8","0,4","0,5","0,8","0,3"
USER_2,"0,6","0,9","0,3","0,6",1,"0,4","0,9",1,"0,1"
USER_3,"0,7","0,8","0,1","0,6",1,"0,4","0,8","0,9","0,1"
USER_4,"0,7",1,"0,3","0,7",1,"0,3","0,9",1,"0,1"
USER_5,"0,5",1,"0,5","0,7",1,"0,3",1,1,0
USER_6,"0,6",1,"0,4","0,7",1,"0,3","0,9",1,"0,1"
USER_7,"0,7","0,9","0,2","0,8",1,"0,2","0,6","0,8","0,2"
USER_8,"0,8","0,9","0,1","0,7",1,"0,3","0,8",1,"0,2"
USER_9,"0,9",1,"0,1","0,5",1,"0,5","0,9",1,"0,1"
USER_10,"0,9",1,"0,1","0,6",1,"0,4","0,8",1,"0,2"
USER_11,"0,9",1,"0,1","0,9",1,"0,1","0,9",1,"0,1"
USER_12,"0,9",1,"0,1","0,8",1,"0,2","0,9",1,"0,1"